Rank,Nome,SMILES,Score_Final,CNS_MPO,BBB_Prob,BBB_Cat,MW,LogP,TPSA,HBD,HBA,RotBonds,Multi_Target_Score,Lipinski_OK,N_Alertas,Estrategia,Fragmento_A,Linker,Fragmento_C
1,REF_encenicline,O=C(c1cc2ccccc2o1)C1CN2CCC1CC2,0.7892,5.61,1.0,ALTA,255.1,2.96,33.5,0,3,2,0.3514,True,0,referencia,encenicline,none,none
2,REF_buspirona,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ccccn1,0.7746,5.73,1.0,ALTA,384.3,2.69,56.8,0,5,6,0.2862,True,0,referencia,buspirona,none,none
3,NZK1_quinuclidina_etil_carbonil_benzisoxazol_pip,O=C(CC1CN2CCC1CC2)c1ccc2onc(N3CCNCC3)c2c1,0.7473,6.0,1.0,ALTA,354.2,2.15,61.6,1,6,4,0.1577,True,0,A-linker-C,quinuclidina,etil_carbonil,benzisoxazol_pip
4,NZK1_azabiciclo_222_etil_carbonil_benzisoxazol_pip,O=C(CC1CN2CCC1CC2)c1ccc2onc(N3CCNCC3)c2c1,0.7473,6.0,1.0,ALTA,354.2,2.15,61.6,1,6,4,0.1577,True,0,A-linker-C,azabiciclo_222,etil_carbonil,benzisoxazol_pip
5,REF_varenicline,C1CN2CC3=CC=C(C=C3C2C1)C1=CN=CC=C1,0.7455,4.75,1.0,ALTA,236.1,3.4,16.1,0,2,1,0.3254,True,0,referencia,varenicline,none,none
6,NZK1_quinuclidinona_etil_carbonil_arilpiperazina_base,O=C(CC1CN2CCC1CC2=O)c1ccc(N2CCNCC2)cc1,0.7454,6.0,1.0,ALTA,327.2,1.54,52.7,1,4,4,0.1512,True,0,A-linker-C,quinuclidinona,etil_carbonil,arilpiperazina_base
7,NZK1_quinuclidinona_etileno_benzisoxazol_pip,O=C1CC2CCN1CC2CCc1ccc2onc(N3CCNCC3)c2c1,0.744,6.0,1.0,ALTA,354.2,2.04,61.6,1,5,4,0.1467,True,0,A-linker-C,quinuclidinona,etileno,benzisoxazol_pip
8,NZK1_quinuclidinona_etil_carbonil_benzisoxazol_pip,O=C(CC1CN2CCC1CC2=O)c1ccc2onc(N3CCNCC3)c2c1,0.7432,5.94,1.0,ALTA,368.2,1.68,78.7,1,6,4,0.1525,True,0,A-linker-C,quinuclidinona,etil_carbonil,benzisoxazol_pip
9,NZK1_quinuclidina_etil_carbonil_arilpiperazina_base,O=C(CC1CN2CCC1CC2)c1ccc(N2CCNCC2)cc1,0.7425,5.89,1.0,ALTA,313.2,2.01,35.6,1,4,4,0.1568,True,0,A-linker-C,quinuclidina,etil_carbonil,arilpiperazina_base
10,NZK1_azabiciclo_222_etil_carbonil_arilpiperazina_base,O=C(CC1CN2CCC1CC2)c1ccc(N2CCNCC2)cc1,0.7425,5.89,1.0,ALTA,313.2,2.01,35.6,1,4,4,0.1568,True,0,A-linker-C,azabiciclo_222,etil_carbonil,arilpiperazina_base
