Rank,Nome,SMILES,Score_Final,CNS_MPO,BBB_Cat,MW,LogP,TPSA,HBD,HBA,Multi_Target,N_Sistemas,Sistemas,Max_Anti_Sim,N_Alertas,Estrategia
1,REF_CDPPB,O=C(NC1CCCCC1)c1cc(-c2ccccn2)no1,0.7146,5.85,ALTA,271.1,2.8,68.0,1,4,0.2118,4,colinergico|dopaminergico|glutamatergico|pde,0.129,0,referencia
2,REF_encenicline,O=C(c1cc2ccccc2o1)C1CN2CCC1CC2,0.7017,5.61,ALTA,255.1,2.96,33.5,0,3,0.2588,3,colinergico|dopaminergico|glutamatergico,0.139,0,referencia
3,NZK2c_pyrimidilpiperazina_etil_carbonil_benzofuran,O=C(CC1CNCCN1c1ncccn1)c1ccc2ccoc2c1,0.6898,6.0,ALTA,322.1,2.27,71.3,1,6,0.159,3,colinergico|glutamatergico|serotoninergico,0.161,0,pip_heterociclo
4,NZK2a_quinuclidina_etil_carbonil_fenilpiperazina,O=C(CC1CN2CCC1CC2)c1ccc(N2CCNCC2)cc1,0.6883,5.89,ALTA,313.2,2.01,35.6,1,4,0.1677,3,colinergico|serotoninergico|sigma,0.203,0,core_piperazina
5,REF_buspirona,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ccccn2)CC1,0.6778,5.73,ALTA,384.3,2.69,56.8,0,5,0.2138,2,serotoninergico|sigma,0.208,0,referencia
6,REF_guanfacina,NC(=O)Cc1c(Cl)cccc1Cl,0.6768,6.0,ALTA,203.0,2.02,43.1,1,1,0.1737,2,multiplo|noradrenergico,0.161,0,referencia
7,NZK2a_quinuclidinona_etil_carbonil_fenilpiperazina,O=C(CC1CN2CCC1CC2=O)c1ccc(N2CCNCC2)cc1,0.6718,6.0,ALTA,327.2,1.54,52.7,1,4,0.1539,2,colinergico|serotoninergico,0.194,0,core_piperazina
8,NZK2b_quinuclidina_etil_carbonil_benzimidazol,O=C(CC1CN2CCC1CC2)c1ccc2[nH]cnc2c1,0.6717,6.0,ALTA,269.2,2.48,49.0,1,3,0.1536,2,colinergico|dopaminergico,0.176,0,core_imidazol
9,REF_modafinil,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,0.6702,6.0,ALTA,273.1,2.01,60.2,1,2,0.1474,2,multiplo|noradrenergico,0.131,0,referencia
10,NZK2c_fenilpiperazina_etil_carbonil_benzofuran,O=C(CC1CNCCN1c1ccccc1)c1ccc2ccoc2c1,0.6657,5.27,ALTA,320.2,3.48,45.5,1,4,0.16,3,colinergico|dopaminergico|serotoninergico,0.165,0,pip_heterociclo
11,NZK2c_fenilpiperazina_etil_sulfonamida_benzofuran,O=S(=O)(CC1CNCCN1c1ccccc1)Nc1ccc2ccoc2c1,0.6647,5.34,ALTA,371.1,2.65,74.6,2,5,0.1469,3,colinergico|dopaminergico|serotoninergico,0.156,0,pip_heterociclo
12,NZK2a_quinuclidina_etileno_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCC1CN2CCC1CC2,0.6625,6.0,ALTA,301.2,1.16,44.3,1,5,0.1166,2,colinergico|serotoninergico,0.093,0,core_piperazina
13,NZK2a_quinuclidina_propileno_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCC1CN2CCC1CC2,0.662,6.0,ALTA,315.2,1.55,44.3,1,5,0.1148,2,colinergico|serotoninergico,0.114,0,core_piperazina
14,NZK2a_quinuclidina_butileno_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCCC1CN2CCC1CC2,0.6616,6.0,ALTA,329.3,1.94,44.3,1,5,0.1132,2,colinergico|serotoninergico,0.127,0,core_piperazina
15,NZK2c_fenilpiperazina_etil_amida_benzofuran,O=C(CC1CNCCN1c1ccccc1)Nc1ccc2ccoc2c1,0.6578,5.01,ALTA,335.2,3.24,57.5,2,4,0.1631,3,colinergico|dopaminergico|serotoninergico,0.154,0,pip_heterociclo
16,NZK2b_quinuclidina_etil_amida_benzimidazol,O=C(CC1CN2CCC1CC2)Nc1ccc2[nH]cnc2c1,0.656,5.5,ALTA,284.2,2.23,61.0,2,3,0.1574,2,colinergico|dopaminergico,0.127,0,core_imidazol
17,NZK2b_quinuclidinona_etil_carbonil_benzimidazol,O=C(CC1CN2CCC1CC2=O)c1ccc2[nH]cnc2c1,0.6547,6.0,ALTA,283.1,2.0,66.1,1,3,0.1522,1,colinergico,0.167,0,core_imidazol
18,NZK2a_quinuclidina_etil_carbonil_benzisoxazolpip,O=C(CC1CN2CCC1CC2)c1ccc2onc(N3CCNCC3)c2c1,0.6546,6.0,ALTA,354.2,2.15,61.6,1,6,0.1516,1,colinergico,0.159,0,core_piperazina
19,NZK2a_quinuclidina_etil_amida_benzisoxazolpip,O=C(CC1CN2CCC1CC2)Nc1ccc2onc(N3CCNCC3)c2c1,0.6527,5.43,ALTA,369.2,1.91,73.6,2,6,0.1534,2,colinergico|glutamatergico,0.115,0,core_piperazina
20,NZK2b_quinuclidina_etil_amida_oxazol,O=C(CC1CN2CCC1CC2)Nc1cocn1,0.6527,6.0,ALTA,235.1,1.34,58.4,1,4,0.1443,1,colinergico,0.123,0,core_imidazol
21,NZK2c_fenilpiperazina_etil_carbonil_pirrolo_piridina,O=C(CC1CNCCN1c1ccccc1)c1cnc2[nH]ccc2c1,0.6526,5.44,ALTA,320.2,2.61,61.0,2,4,0.1516,2,dopaminergico|serotoninergico,0.146,0,pip_heterociclo
22,NZK2a_3OH_quinuclidina_etil_carbonil_fenilpiperazina,O=C(CC1CN2CCC1CC2O)c1ccc(N2CCNCC2)cc1,0.6523,5.5,ALTA,329.2,1.33,55.8,2,5,0.1427,2,colinergico|serotoninergico,0.192,0,core_piperazina
23,NZK2b_quinuclidina_etil_carbonil_oxazol,O=C(CC1CN2CCC1CC2)c1cocn1,0.6522,6.0,ALTA,220.1,1.59,46.3,0,4,0.1421,1,colinergico,0.143,0,core_imidazol
24,NZK2b_quinuclidinona_etil_carbonil_oxazol,O=C(CC1CN2CCC1CC2=O)c1cocn1,0.6519,6.0,ALTA,234.1,1.12,63.4,0,4,0.1411,1,colinergico,0.135,0,core_imidazol
25,NZK2a_quinuclidinona_etil_carbonil_benzisoxazolpip,O=C(CC1CN2CCC1CC2=O)c1ccc2onc(N3CCNCC3)c2c1,0.6518,5.94,ALTA,368.2,1.68,78.7,1,6,0.1485,1,colinergico,0.153,0,core_piperazina
26,NZK2c_fenilpiperazina_etil_carbonil_indazol,O=C(CC1CNCCN1c1ccccc1)c1ccc2[nH]ncc2c1,0.6514,5.44,ALTA,320.2,2.61,61.0,2,4,0.147,2,dopaminergico|serotoninergico,0.163,0,pip_heterociclo
27,NZK2b_quinuclidina_etil_sulfonamida_benzimidazol,O=S(=O)(CC1CN2CCC1CC2)Nc1ccc2[nH]cnc2c1,0.6511,5.5,ALTA,320.1,1.65,78.1,2,4,0.1378,2,colinergico|serotoninergico,0.12,0,core_imidazol
28,NZK2b_quinuclidina_etil_carbonil_tiazol_amino,O=C(CC1CN2CCC1CC2)Nc1nccs1,0.6507,6.0,ALTA,251.1,1.81,45.2,1,4,0.1362,1,colinergico,0.122,0,core_imidazol
29,NZK2b_quinuclidina_etil_carbonil_aminotiazol_pip,O=C(CC1CN2CCC1CC2)Nc1nc(N2CCNCC2)cs1,0.6507,5.5,ALTA,335.2,1.22,60.5,2,6,0.1361,2,colinergico|serotoninergico,0.11,0,core_imidazol
