Rank,Nome,SMILES,Formula,Score,CNS_MPO,BBB,MW,LogP,TPSA,HBD,HBA,SA_Score,Strain_kcal,N_Sistemas,Sistemas,N_Alertas,Estrategia
1,REF_guanfacina,NC(=O)Cc1c(Cl)cccc1Cl,C8H7Cl2NO,0.7619,6.0,ALTA,203.0,2.02,43.1,1,1,2.1,,6,colinergico|dopaminergico|histaminergico|multiplo|noradrenergico|sigma,0,referencia
2,REF_encenicline,O=C(c1cc2ccccc2o1)C1CN2CCC1CC2,C16H17NO2,0.7451,5.61,ALTA,255.1,2.96,33.5,0,3,4.1,,6,colinergico|dopaminergico|glutamatergico|multiplo|noradrenergico|serotoninergico,0,referencia
3,REF_CDPPB,O=C(NC1CCCCC1)c1cc(-c2ccccn2)no1,C15H17N3O2,0.7443,5.85,ALTA,271.1,2.8,68.0,1,4,2.6,,5,colinergico|dopaminergico|glutamatergico|pde|serotoninergico,0,referencia
4,REF_buspirona,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ccccn2)CC1,C22H32N4O2,0.7323,5.73,ALTA,384.3,2.69,56.8,0,5,3.6,,5,colinergico|dopaminergico|glutamatergico|serotoninergico|sigma,0,referencia
5,REF_SB277011A,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc2ccccc2[nH]1,C21H23N3O,0.7222,4.69,ALTA,333.2,3.56,48.1,2,2,3.2,,8,colinergico|dopaminergico|glutamatergico|multiplo|noradrenergico|pde|serotoninergico|sigma,0,referencia
6,NZK3d_quinuclidina_C3_pirazina_amida,O=C(NCCCC1CC2CCN1CC2)c1cnccn1,C15H22N4O,0.7189,6.0,ALTA,274.2,1.47,58.1,1,4,3.8,,5,colinergico|dopaminergico|glutamatergico|pde|serotoninergico,0,core+link+nmda
7,NZK3d_quinuclidina_C2_pirazina_amida,O=C(NCCC1CC2CCN1CC2)c1cnccn1,C14H20N4O,0.7188,6.0,ALTA,260.2,1.08,58.1,1,4,3.8,,5,colinergico|dopaminergico|glutamatergico|pde|serotoninergico,0,core+link+nmda
8,NZK3d_quinuclidina_C4_pirazina_amida,O=C(NCCCCC1CC2CCN1CC2)c1cnccn1,C16H24N4O,0.7185,6.0,ALTA,288.2,1.86,58.1,1,4,3.8,,5,colinergico|dopaminergico|glutamatergico|pde|serotoninergico,0,core+link+nmda
9,REF_modafinil,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,C15H15NO2S,0.7163,6.0,ALTA,273.1,2.01,60.2,1,2,3.1,,4,colinergico|dopaminergico|multiplo|noradrenergico,0,referencia
10,NZK3d_azanorbornano_C3_pirazina_amida,O=C(NCCCN1CC2CCC1C2)c1cnccn1,C14H20N4O,0.7112,6.0,ALTA,260.2,1.08,58.1,1,4,4.3,,5,colinergico|dopaminergico|glutamatergico|pde|serotoninergico,0,core+link+nmda
11,NZK3a_pirrolidina_C2_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCC1CCCN1,C17H24N4O,0.7041,5.5,ALTA,300.2,1.92,53.3,2,5,3.9,,5,colinergico|dopaminergico|glutamatergico|histaminergico|serotoninergico,0,core+link+pip
12,NZK3a_pirrolidina_C3_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCCC1CCCN1,C18H26N4O,0.7036,5.5,ALTA,314.2,2.31,53.3,2,5,3.9,,5,colinergico|dopaminergico|glutamatergico|histaminergico|serotoninergico,0,core+link+pip
13,NZK3a_pirrolidina_C4_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCCCC1CCCN1,C19H28N4O,0.7002,5.4,ALTA,328.2,2.7,53.3,2,5,3.9,,5,colinergico|dopaminergico|glutamatergico|histaminergico|serotoninergico,0,core+link+pip
14,NZK3d_azanorbornano_C4_pirazina_amida,O=C(NCCCCN1CC2CCC1C2)c1cnccn1,C15H22N4O,0.6968,6.0,ALTA,274.2,1.47,58.1,1,4,4.3,,4,dopaminergico|glutamatergico|pde|serotoninergico,0,core+link+nmda
15,NZK3a_pirrolidina_C2_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCC1CCCN1,C15H24N4,0.6953,5.5,ALTA,260.2,1.18,40.2,2,4,3.5,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+pip
16,NZK3a_pirrolidina_C3_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCCC1CCCN1,C16H26N4,0.6948,5.5,ALTA,274.2,1.57,40.2,2,4,3.5,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+pip
17,NZK3a_pirrolidina_C4_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCCCC1CCCN1,C17H28N4,0.6944,5.5,ALTA,288.2,1.96,40.2,2,4,3.5,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+pip
18,REF_BQCA,O=C(O)c1ccc(-c2cccc(C(F)(F)F)c2)c(=O)[nH]1,C13H8F3NO3,0.6912,4.79,ALTA,283.0,2.76,70.2,2,2,2.6,,4,colinergico|dopaminergico|multiplo|noradrenergico,0,referencia
19,NZK3a_quinuclidina_C2OC_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1COCC1CC2CCN1CC2,C20H28N4O2,0.6905,6.0,ALTA,356.2,2.24,53.8,1,6,4.8,,4,colinergico|glutamatergico|histaminergico|serotoninergico,0,core+link+pip
20,NZK3d_quinuclidinona_C2_aminoisoxazol,O=C1CC2CCN1CC2CCNc1ccno1,C12H17N3O2,0.6898,6.0,ALTA,235.1,1.34,58.4,1,4,5.4,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
21,NZK3a_quinuclidina_C2_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCC1CC2CCN1CC2,C20H28N4O,0.6897,5.92,ALTA,340.2,2.65,44.5,1,5,4.7,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+pip
22,NZK3a_pirrolidina_C3NH_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1NCCCC1CCCN1,C18H27N5O,0.6894,5.0,ALTA,329.2,2.18,65.4,3,6,3.9,,5,colinergico|dopaminergico|glutamatergico|histaminergico|serotoninergico,0,core+link+pip
23,NZK3d_quinuclidinona_C3_aminoisoxazol,O=C1CC2CCN1CC2CCCNc1ccno1,C13H19N3O2,0.6894,6.0,ALTA,249.1,1.74,58.4,1,4,5.4,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
24,NZK3d_quinuclidinona_C4_aminoisoxazol,O=C1CC2CCN1CC2CCCCNc1ccno1,C14H21N3O2,0.689,6.0,ALTA,263.2,2.12,58.4,1,4,5.4,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
25,NZK3a_pirrolidina_C2OC_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1COCC1CCCN1,C17H24N4O2,0.6886,5.5,ALTA,316.2,1.51,62.6,2,6,3.9,,4,colinergico|glutamatergico|histaminergico|serotoninergico,0,core+link+pip
26,NZK3d_quinuclidina_C3_aminoisoxazol,c1cc(NCCCC2CC3CCN2CC3)on1,C13H21N3O,0.6876,6.0,ALTA,235.2,2.35,41.3,1,4,3.8,,3,colinergico|dopaminergico|glutamatergico,0,core+link+nmda
27,NZK3d_quinuclidina_C2_aminoisoxazol,c1cc(NCCC2CC3CCN2CC3)on1,C12H19N3O,0.6875,6.0,ALTA,221.2,1.96,41.3,1,4,3.8,,3,colinergico|dopaminergico|glutamatergico,0,core+link+nmda
28,NZK3a_piperidina_C2_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCC1CCCNC1,C18H26N4O,0.687,5.5,ALTA,314.2,2.17,53.3,2,5,3.9,,4,colinergico|glutamatergico|histaminergico|serotoninergico,0,core+link+pip
29,NZK3a_piperidina_C2OC_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1COCC1CCCNC1,C18H26N4O2,0.6867,5.5,ALTA,330.2,1.75,62.6,2,6,3.9,,4,colinergico|glutamatergico|histaminergico|serotoninergico,0,core+link+pip
30,NZK3d_quinuclidinona_C4_pirazina_amida,O=C(NCCCCC1CN2CCC1CC2=O)c1cnccn1,C16H22N4O2,0.6867,6.0,ALTA,302.2,1.25,75.2,1,4,5.5,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
31,NZK3a_piperidina_C3_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCCC1CCCNC1,C19H28N4O,0.6857,5.47,ALTA,328.2,2.56,53.3,2,5,3.9,,4,colinergico|glutamatergico|histaminergico|serotoninergico,0,core+link+pip
32,NZK3a_quinuclidina_C2OC_piridilpiperazina,c1cc(N2CCNCC2)ncc1COCC1CC2CCN1CC2,C18H28N4O,0.685,6.0,ALTA,316.2,1.49,40.6,1,5,4.1,,3,colinergico|histaminergico|serotoninergico,0,core+link+pip
33,NZK3d_quinuclidina_C4_aminoisoxazol,c1cc(NCCCCC2CC3CCN2CC3)on1,C14H23N3O,0.6837,5.88,ALTA,249.2,2.74,41.3,1,4,3.8,,3,colinergico|dopaminergico|glutamatergico,0,core+link+nmda
34,NZK3b_quinuclidinona_C2_fenoxipiperidina,O=C1CC2CCN1CC2CCc1ccc(OC2CCNCC2)cc1,C20H28N2O2,0.6831,5.94,ALTA,328.2,2.62,41.6,1,3,5.8,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+h3sig
35,NZK3b_quinuclidinona_C2OC_fenoxipiperidina,O=C1CC2CCN1CC2COCc1ccc(OC2CCNCC2)cc1,C20H28N2O3,0.6828,6.0,ALTA,344.2,2.2,50.8,1,4,5.9,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+h3sig
36,NZK3a_pirrolidina_C3NH_piridilpiperazina,c1cc(N2CCNCC2)ncc1NCCCC1CCCN1,C16H27N5,0.6813,5.0,ALTA,289.2,1.44,52.2,3,5,3.5,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+pip
37,NZK3a_piperidina_C4_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCCCC1CCCNC1,C20H30N4O,0.6797,5.28,ALTA,342.2,2.95,53.3,2,5,3.9,,4,colinergico|glutamatergico|histaminergico|serotoninergico,0,core+link+pip
38,NZK3a_piperidina_C2_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCC1CCCNC1,C16H26N4,0.6787,5.5,ALTA,274.2,1.42,40.2,2,4,3.5,,3,colinergico|histaminergico|serotoninergico,0,core+link+pip
39,NZK3a_piperidina_C3_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCCC1CCCNC1,C17H28N4,0.6783,5.5,ALTA,288.2,1.81,40.2,2,4,3.5,,3,colinergico|histaminergico|serotoninergico,0,core+link+pip
